Day,Contracts,DailyGainUSD,NewContracts,Timestamp,Event
1,44,785.80,39,2025-11-05 01:22:27,🍀🍒🍒🍀💠🔔
2,389,6915.04,345,2025-11-06 01:22:27,🔔🔔🍀🍒🍀🍀
3,3445,61135.24,3056,2025-11-07 01:22:27,⭐🍒⭐7🍒🍒
4,30515,541416.20,27070,2025-11-08 01:22:27,🍒🔔🔔⭐⭐🍒
5,270301,4795737.40,239786,2025-11-09 01:22:27,⭐🔔🍀🍀🍀⭐
6,2394326,42480505.16,2124025,2025-11-10 01:22:27,7🔔7⭐💠🔷
7,21208939,376292274.16,18814613,2025-11-11 01:22:27,🔷🍒🔷🔷🔔🍀
8,187868781,3333196853.24,166659842,2025-11-12 01:22:27,7💠💠🔔🔔🔷
9,1664141662,29525457621.96,1476272881,2025-11-13 01:22:27,💠🍒🍒7🍒💠
10,14740966841,261536503599.92,13076825179,2025-11-14 01:22:27,🔷💠⭐💠🔷🍒
11,130575484277,2316690348731.56,115834517436,2025-11-15 01:22:27,🍀7⭐🍒7🍒
12,1156637639725,20521243108973.32,1026062155448,2025-11-16 01:22:27,⭐💠🔷🍀⭐🔷
13,10245496212684,181777171459181.00,9088858572959,2025-11-17 01:22:27,💠⭐🔔🍀🍒🍒
14,90754605451954,1610182184785417.50,80509109239270,2025-11-18 01:22:27,🍀🔔🔷💠🍒🔷
15,803904295093408,14262993792829092.00,713149689641454,2025-11-19 01:22:27,🔔🔷🍒7💠7
16,7120984245937408,126341599016880000.00,6317079950844000,2025-11-20 01:22:27,🍀🔷💠🔔💠💠
17,63077678450513560,1119133884091523072.00,55956694204576152,2025-11-21 01:22:27,🔔🍀💠🍀🍀🍀
18,558742075714649114,9913287945282711552.00,495664397264135554,2025-11-22 01:22:27,🍒⭐🍀🔔⭐🍀
19,4949337306680361851,87811904619314249728.00,4390595230965712737,2025-11-23 01:22:27,🔔🔔77💠🍀
20,43841229862574645276,777837851117885587456.00,38891892555894283425,2025-11-24 01:22:27,🍀⭐🔔🍀💠🔷
21,388345614122686207854,6890087685202231951360.00,344504384260111562578,2025-11-25 01:22:27,🔷🔷🍒🔔🔷🍒
22,3439965449898754429170,61032396715521365508096.00,3051619835776068221316,2025-11-26 01:22:27,🔷💠7💠🍒🔔
23,30471213955203166733587,540624970106088286322688.00,27031248505304412304417,2025-11-27 01:22:27,⭐🍀💠🔔🍀7
24,269914013215189650926113,4788855985199729547935744.00,239442799259986484192526,2025-11-28 01:22:27,7🍀7🔔💠🔔
25,2390898329060149927903508,42419686316899204069326848.00,2120984315844960276977395,2025-11-29 01:22:27,🔔🍀⭐⭐💠🍀
26,21178577398814808061369273,375753581395093124288610304.00,18787679069754658133465765,2025-11-30 01:22:27,⭐7⭐7💠🔔
27,187599838598701569807609020,3328425223997735151821914112.00,166421261199886761746239747,2025-12-01 01:22:27,🔔⭐7🍒🔷🍒
28,1661759370307298505355800699,29483190634171936110066794496.00,1474159531708596935548191679,2025-12-02 01:22:27,🔷🍒🔔🍀🔔🔷
29,14719864502182050160441682591,261162102637495037146142081024.00,13058105131874751655085881892,2025-12-03 01:22:27,🍀7⭐🍒77
30,130388559760328600321192424391,2313373905162930790779597094912.00,115668695258146550160750741800,2025-12-04 01:22:27,⭐7⭐💠⭐🔷
